ID,City,Location,Area,Bedrooms,Bathrooms,Floor,YearBuilt,Seller,View,Payment,Finishing,Furnished,Parking,Security,SchoolDist,Color,Price
EG-10001,Cairo,Shubra,120.0,2.0,3.0,3.0,2025,Developer,Street,Installments,Unfinished,Furnished,Yes,No,10.26,Beige,2163000.0
EG-10002,Cairo,Al-Haram,162.0,3.0,2.0,6.0,2024,Developer,Other,Installments,Unfinished,Furnished,No,Yes,9.54,Beige,3055000.0
EG-10003,Cairo,Al-Haram,122.0,3.0,,4.0,2024,Developer,Street,Installments,Unfinished,Unfurnished,Yes,Yes,6.47,White,2650000.0
EG-10004,Cairo,Sheikh Zayed,212.0,4.0,3.0,13.0,2027,Broker,Garden,Installments,Finished,Unfurnished,Yes,No,13.5,Grey,12720000.0
EG-10005,Cairo,Maadi,,2.0,1.0,6.0,2025,Developer,Garden,Installments,Finished,Unfurnished,Yes,Yes,7.84,Off-White,5898000.0
EG-10006,Cairo,Shubra,140.0,3.0,1.0,9.0,2014,Broker,Street,Cash,Finished,Furnished,Yes,No,7.64,White,1560000.0
EG-10007,Cairo,6th of October,145.0,3.0,3.0,2.0,2027,Broker,Other,Installments,Unfinished,Furnished,Yes,No,1.03,Brown,5949000.0
EG-10008,Cairo,Heliopolis,133.0,2.0,2.0,3.0,2025,Broker,Garden,Installments,Finished,Unfurnished,No,No,13.84,Grey,4209000.0
EG-10009,Cairo,6th of October,145.0,3.0,2.0,2.0,2025,Broker,Other,Cash,Finished,Unfurnished,Yes,Yes,2.74,Grey,2444000.0
EG-10010,Cairo,Shubra,125.0,3.0,2.0,4.0,2019,Developer,Street,Installments,Unfinished,Furnished,No,Yes,7.97,White,1389000.0
EG-10011,Cairo,6th of October,185.0,3.0,3.0,3.0,2024,Broker,Other,Installments,Unfinished,Unfurnished,No,Yes,12.07,Grey,1181000.0
EG-10012,Cairo,Ain Shams,154.0,3.0,3.0,4.0,2025,Broker,Street,Installments,Unfinished,Furnished,Yes,No,3.31,Grey,1255000.0
EG-10013,Cairo,6th of October,,3.0,3.0,2.0,2027,Broker,Street,Installments,Unfinished,Furnished,Yes,No,7.96,Brown,5166000.0
EG-10014,Cairo,Al-Haram,160.0,3.0,3.0,2.0,2026,Broker,Other,Installments,Unfinished,Furnished,Yes,Yes,3.69,Brown,4399000.0
EG-10015,Cairo,Al-Haram,157.0,3.0,2.0,3.0,2026,Broker,Street,Installments,Unfinished,Unfurnished,Yes,No,11.42,Off-White,3447000.0
EG-10016,Cairo,Nasr City,127.0,1.0,,0.0,2026,Broker,Street,Installments,Finished,Unfurnished,Yes,Yes,8.51,Brown,6521000.0
EG-10017,Cairo,Ain Shams,130.0,3.0,2.0,0.0,2027,Broker,Street,Installments,Unfinished,Furnished,Yes,Yes,12.85,Off-White,3660000.0
EG-10018,Cairo,New Cairo,151.0,2.0,1.0,3.0,2028,Broker,Pool,Installments,Finished,Furnished,Yes,Yes,13.43,Brown,19026000.0
