iter	RMSE
0	2375038.101
1	2061850.862
2	1859114.219
3	1764195.589
4	1689854.198
5	1625392.443
6	1582791.975
7	1546523.91
8	1524280.832
9	1509364.754
10	1494463.206
11	1482455.409
12	1461537.581
13	1444401.908
14	1432334.485
15	1424724.103
16	1413168.361
17	1405189.197
18	1398422.055
19	1392819.737
20	1382841.201
21	1366830.654
22	1358909.005
23	1353735.44
24	1348493.717
25	1345123.034
26	1339946.706
27	1329200.96
28	1322623.28
29	1312164.877
30	1308984.047
31	1295950.328
32	1290548.781
33	1285483.789
34	1277268.044
35	1269711.854
36	1264126.4
37	1256117.84
38	1247015.822
39	1236008.578
40	1227734.388
41	1224503.998
42	1219668.784
43	1212169.201
44	1205538.095
45	1199069.477
46	1194681.566
47	1187657.113
48	1181535.881
49	1178973.253
50	1173285.932
51	1168920.238
52	1164361.547
53	1161715.694
54	1155877.542
55	1150709.565
56	1147403.82
57	1142484.417
58	1137310.411
59	1133503.684
60	1125562.411
61	1122326.728
62	1119889.403
63	1115092.228
64	1110581.577
65	1106433.438
66	1104167.064
67	1098754.492
68	1093849.033
69	1087862.95
70	1083387.338
71	1080496.854
72	1079197.023
73	1072506.09
74	1069945.39
75	1066455.936
76	1062802.928
77	1058277.341
78	1055255.326
79	1053221.6
80	1050141.798
81	1047749.213
82	1040470.961
83	1035586.404
84	1031099.276
85	1026870.926
86	1024251.962
87	1018925.644
88	1016486.179
89	1013428.95
90	1010061.551
91	1004632.534
92	999112.7533
93	996562.2878
94	992528.9963
95	991457.2286
96	988914.2533
97	987134.8319
98	983641.9856
99	980594.157
