iter	Passed	Remaining
0	15	1517
1	18	901
2	21	687
3	24	591
4	26	506
5	28	452
6	31	414
7	33	382
8	35	360
9	39	354
10	42	343
11	44	327
12	46	312
13	48	300
14	50	288
15	55	292
16	58	283
17	59	272
18	61	263
19	63	255
20	65	248
21	68	241
22	70	237
23	73	232
24	75	225
25	76	218
26	78	211
27	79	205
28	81	199
29	83	193
30	84	188
31	87	185
32	89	181
33	90	176
34	92	171
35	94	167
36	95	162
37	97	158
38	99	155
39	102	153
40	104	149
41	105	146
42	107	142
43	109	139
44	111	135
45	112	132
46	114	128
47	117	127
48	119	124
49	121	121
50	124	119
51	126	116
52	128	114
53	130	111
54	134	109
55	135	106
56	137	104
57	139	101
58	141	98
59	144	96
60	148	94
61	150	92
62	153	90
63	155	87
64	157	84
65	162	83
66	165	81
67	167	78
68	169	76
69	171	73
70	173	70
71	177	69
72	180	66
73	182	63
74	184	61
75	186	58
76	188	56
77	190	53
78	192	51
79	194	48
80	196	46
81	198	43
82	200	41
83	202	38
84	203	35
85	206	33
86	208	31
87	210	28
88	212	26
89	214	23
90	216	21
91	218	18
92	220	16
93	221	14
94	224	11
95	226	9
96	228	7
97	229	4
98	231	2
99	233	0
