ID,City,Location,Area,Bedrooms,Bathrooms,Floor,YearBuilt,Seller,View,Payment,Finishing,Furnished,Parking,Security,SchoolDist,Color,Price
EG-10001,Cairo,Shubra,120.0,2.0,3.0,3.0,2025,Developer,Street,Installments,Unfinished,Furnished,Yes,No,10.26,Beige,2069000.0
EG-10002,Cairo,Al-Haram,162.0,3.0,2.0,6.0,2024,Developer,Other,Installments,Unfinished,Furnished,No,Yes,9.54,Beige,2849000.0
EG-10003,Cairo,Al-Haram,122.0,3.0,,4.0,2024,Developer,Street,Installments,Unfinished,Unfurnished,Yes,Yes,6.47,White,2461000.0
EG-10004,Cairo,Sheikh Zayed,212.0,4.0,3.0,13.0,2027,Broker,Garden,Installments,Finished,Unfurnished,Yes,No,13.5,Grey,13092000.0
EG-10005,Cairo,Maadi,,2.0,1.0,6.0,2025,Developer,Garden,Installments,Finished,Unfurnished,Yes,Yes,7.84,Off-White,6254000.0
EG-10006,Cairo,Shubra,140.0,3.0,1.0,9.0,2014,Broker,Street,Cash,Finished,Furnished,Yes,No,7.64,White,1648000.0
EG-10007,Cairo,6th of October,145.0,3.0,3.0,2.0,2027,Broker,Other,Installments,Unfinished,Furnished,Yes,No,1.03,Brown,5548000.0
EG-10008,Cairo,Heliopolis,133.0,2.0,2.0,3.0,2025,Broker,Garden,Installments,Finished,Unfurnished,No,No,13.84,Grey,4205000.0
EG-10009,Cairo,6th of October,145.0,3.0,2.0,2.0,2025,Broker,Other,Cash,Finished,Unfurnished,Yes,Yes,2.74,Grey,2444000.0
EG-10010,Cairo,Shubra,125.0,3.0,2.0,4.0,2019,Developer,Street,Installments,Unfinished,Furnished,No,Yes,7.97,White,1329000.0
EG-10011,Cairo,6th of October,185.0,3.0,3.0,3.0,2024,Broker,Other,Installments,Unfinished,Unfurnished,No,Yes,12.07,Grey,1038000.0
EG-10012,Cairo,Ain Shams,154.0,3.0,3.0,4.0,2025,Broker,Street,Installments,Unfinished,Furnished,Yes,No,3.31,Grey,1200000.0
